01|респ. Адыгея
02|респ. Башкортостан
03|респ. Бурятия
04|респ. Алтай
05|респ. Дагестан
06|респ. Ингушетия
07|Кабардино-Балкарская респ.
08|респ. Калмыкия
09|Карачаево-Черкесская респ.
10|респ. Карелия
11|респ. Коми
12|респ. Марий Эл
13|респ. Мордовия
14|респ. Саха (Якутия)
15|респ. Северная Осетия — Алания
16|респ. Татарстан
17|респ. Тыва
18|Удмуртская респ.
19|Респ. Хакасия
20|Чеченская респ.
21|Чувашская респ.
22|Алтайский край
23|Краснодарский край
24|Красноярский край
25|Приморский край
26|Ставропольский край
27|Хабаровский край
28|Амурская обл.
29|Архангельская обл.
30|Астраханская обл.
31|Белгородская обл.
32|Брянская обл.
33|Владимирская обл.
34|Волгоградская обл.
35|Вологодская обл.
36|Воронежская обл.
37|Ивановская обл.
38|Иркутская обл.
39|Калининградская обл.
40|Калужская обл.
42|Кемеровская обл.
43|Кировская обл.
44|Костромская обл.
45|Курганская обл.
46|Курская обл.
47|Ленинградская обл.
48|Липецкая обл.
49|Магаданская обл.
50|Московская обл.
51|Мурманская обл.
52|Нижегородская обл.
53|Новгородская обл.
54|Новосибирская обл.
55|Омская обл.
56|Оренбургская обл.
57|Орловская обл.
58|Пензенская обл.
60|Псковская обл.
61|Ростовская обл.
62|Рязанская обл.
63|Самарская обл.
64|Саратовская обл.
65|Сахалинская обл.
66|Свердловская обл.
67|Смоленская обл.
68|Тамбовская обл.
69|Тверская обл.
70|Томская обл.
71|Тульская обл.
72|Тюменская обл.
73|Ульяновская обл.
74|Челябинская обл.
75|Забайкальский край
76|Ярославская обл.
77|г. Москва
78|г. Санкт-Петербург
79|Еврейская АО
83|Ненецкий АО
86|Ханты-Мансийский АО - Югра
87|Чукотский АО
89|Ямало-Ненецкий АО
91|респ. Крым
92|г. Севастополь
99|
